country_name,BRONZE,GOLD,SILVER
Afghanistan,2,0,0
Algeria,8,5,4
Argentina,30,18,19
Armenia,8,2,8
Australia,193,158,154
Austria,131,91,121
Azerbaijan,29,7,14
Bahamas,5,7,0
Bahrain,0,2,2
Barbados,1,0,0
Belarus,47,21,36
Belgium,47,34,42
Bermuda,1,1,0
Botswana,0,0,1
Brazil,67,39,39
Bulgaria,82,56,85
Burkina Faso,1,0,0
Burundi,0,1,1
Cameroon,2,2,1
Canada,189,121,153
Chile,3,3,6
China,192,312,230
Chinese Taipei,17,8,8
Colombia,16,5,13
Costa Rica,2,1,1
Croatia,15,19,17
Cuba,74,79,66
Cyprus,0,0,1
Czech Republic,42,29,35
Czechoslovakia,48,50,46
Côte d'Ivoire,2,1,1
Democratic People's Republic of Korea,24,16,17
Denmark,71,34,69
Djibouti,1,0,0
Dominican Republic,3,3,4
Ecuador,0,3,2
Egypt,19,8,11
Eritrea,1,0,0
Estonia,18,13,12
Ethiopia,22,23,12
Federal Republic of Germany,78,52,72
Finland,150,135,134
France,282,226,238
Gabon,0,0,1
Georgia,18,10,12
German Democratic Republic (Germany),151,168,147
Germany,307,292,324
Ghana,3,0,1
Great Britain,275,254,283
Greece,42,36,43
Grenada,1,1,1
Guatemala,0,0,1
Guyana,1,0,0
Haiti,0,0,1
"Hong Kong, China",3,2,4
Hungary,167,152,135
Iceland,2,0,1
Independent Olympic Athletes,3,1,1
India,13,2,8
Indonesia,17,13,16
Iraq,1,0,0
Ireland,13,12,12
Islamic Republic of Iran,29,23,24
Israel,8,3,1
Italy,228,212,178
Jamaica,20,21,25
Japan,187,168,153
Jordan,1,1,1
Kazakhstan,39,16,25
Kenya,35,34,41
Kosovo,0,3,0
Kuwait,3,0,0
Kyrgyzstan,4,0,3
Latvia,14,3,15
Lebanon,2,0,2
Liechtenstein,6,2,2
Lithuania,13,6,8
Luxembourg,0,2,3
Malaysia,7,0,12
Mauritius,1,0,0
Mexico,32,11,26
Mongolia,17,2,11
Morocco,12,7,5
Mozambique,1,1,0
Namibia,0,0,5
Netherlands,143,126,130
Netherlands Antilles,0,0,1
New Zealand,50,62,40
Niger,1,0,1
Nigeria,9,1,6
North Macedonia,1,0,1
Norway,154,173,148
Pakistan,2,0,0
Panama,2,1,0
Peru,0,1,2
Philippines,8,1,5
Poland,135,75,80
Portugal,12,5,12
Puerto Rico,6,2,2
Qatar,5,2,2
ROC,42,22,33
Republic of Korea,120,108,107
Republic of Moldova,4,0,3
Romania,102,95,86
Russia,182,183,160
Samoa,0,0,1
San Marino,2,0,2
Saudi Arabia,1,0,2
Senegal,0,0,1
Serbia,6,4,6
Serbia and Montenegro,1,1,2
Singapore,1,1,1
Slovakia,8,18,16
Slovenia,23,12,17
South Africa,26,26,34
Spain,48,56,66
Sri Lanka,0,0,2
Sudan,0,0,1
Suriname,1,1,0
Sweden,196,174,185
Switzerland,113,106,107
Syrian Arab Republic,2,1,1
Tajikistan,2,1,1
Thailand,17,10,8
Togo,1,0,0
Tonga,0,0,1
Trinidad and Tobago,9,2,4
Tunisia,7,5,3
Turkey,36,41,26
Turkmenistan,0,0,1
Uganda,3,4,4
Ukraine,72,36,34
United Arab Emirates,1,1,0
United Republic of Tanzania,0,0,2
United States of America,766,978,872
Uruguay,6,0,2
Uzbekistan,19,11,6
Venezuela,9,3,7
Vietnam,0,1,3
"Virgin Islands, US",0,0,1
Yugoslavia,26,18,22
Zambia,1,0,1
Zimbabwe,1,2,4
